"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"42",2.69932029844108,1.67980883793922,4.33759479591432,2006-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"43",2.33730837450765,1.45737955828072,3.74851589381996,2006-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"44",2.28873668636491,1.3722339057318,3.81736349585317,2006-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"45",2.47440509135858,1.52482553463994,4.01533186390864,2006-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"46",2.4133118119754,1.51958914655207,3.83266352950385,2006-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"47",2.47193192305747,1.52330147126399,4.01131853904161,2006-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"48",2.74560101501692,1.71196186096896,4.4033252758302,2006-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"49",2.51180093538975,1.55699860983027,4.05211918571499,2006-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"50",2.44000478410022,1.51249408474074,3.93629529298455,2006-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"51",2.3233265117943,1.42892155155708,3.77756642729918,2006-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"52",2.83204764644607,1.78325438292002,4.4976723167266,2009-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"53",2.27049983753241,1.41572249789096,3.64137005657146,2009-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"54",2.30942828908631,1.44565137710923,3.68931203392691,2009-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"55",2.31405176760183,1.42880724240538,3.74776626560652,2009-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"56",2.7264489184541,1.70001997331164,4.37260962908512,2009-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"57",2.34433082804464,1.46462611750025,3.75241637824988,2009-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"58",2.44488967693296,1.51255458571414,3.95191392682936,2009-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"59",2.58570965931585,1.63133712398157,4.09841371473307,2009-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"60",2.1814722654982,1.35488963387556,3.51233128230941,2009-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"61",2.91246557768099,1.79126128462351,4.73546534723412,2009-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"62",2.54212412185586,1.59443589048116,4.05309181102993,2009-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"63",2.31173887247454,1.44709775155303,3.69300319123189,2009-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"64",2.53197593527251,1.60371048898183,3.99754331024504,2009-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"65",2.7074304184338,1.68816138697317,4.34210824108675,2009-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"66",2.39647761771107,1.50014234459132,3.82837334930018,2009-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"67",2.43756599891195,1.5348612713742,3.87118243835276,2009-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"68",2.5092903899363,1.56768498606422,4.01645631424623,2009-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"69",2.56254268016508,1.64227093423832,3.99850283577796,2011-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"70",2.22999646440018,1.39319545885847,3.56940887196968,2011-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"71",2.36079871419867,1.49236185121426,3.73459731929447,2011-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"72",2.80667357223677,1.75347581835298,4.49245804170341,2011-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"73",2.46946122668849,1.50989483091408,4.03885000813334,2011-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"74",2.47440509135858,1.52183980356433,4.02320963205274,2011-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"75",2.10644143498073,1.31600416790609,3.37164245160681,2011-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"76",2.4645272398666,1.56712072104304,3.87583064564537,2011-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"77",2.69123447234926,1.7146346056709,4.22407372463305,2011-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"78",2.52944522490332,1.60525079027758,3.98572807721829,2011-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"79",2.92121609362507,1.83220470766261,4.65750547958175,2011-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"80",2.55742271647509,1.63898967472311,3.9905138217834,2011-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"81",2.78709546056585,1.76529885676896,4.40033203246073,2011-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"82",2.60127055327095,1.63794105692477,4.13116727412575,2011-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"83",2.29561320604613,1.43700343860589,3.66724243672371,2011-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"84",2.29790996744148,1.4497628625661,3.64224409026489,2011-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"85",2.47688073406499,1.5596165659622,3.93361952205055,2011-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"86",2.94173634336358,1.84869502815679,4.68103856074858,2014-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"87",2.34667633142891,1.47473748842,3.73414919450418,2014-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"88",2.22999646440018,1.39866750325709,3.55544417787424,2014-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"89",2.57796415440439,1.61691497941317,4.11023415950168,2014-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"90",2.90374127394678,1.81056689880619,4.6569466124569,2014-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"91",2.20780762884063,1.37393653118453,3.54777270662165,2014-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"92",2.27732156451919,1.43396021826939,3.61669273815924,2014-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"93",2.36079871419867,1.49236185121426,3.73459731929447,2014-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"94",2.67246161270735,1.70936165559699,4.17819777810565,2014-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"95",2.7731947639643,1.76339336315542,4.36125561066954,2014-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"96",2.55231298247938,1.61976325552468,4.02176153725791,2014-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"97",2.57281337858833,1.63277333248973,4.05406466980296,2014-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"98",2.15760756705439,1.35326474144535,3.44002933855965,2014-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"99",2.82074208206314,1.76572257933926,4.50613589395184,2014-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"100",2.20119413116075,1.36982089812728,3.53714533752596,2014-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
