"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"1",3.16649561868486,2.1789675292618,4.60158050475736,2001,"diabetes","Overall",0
"2",11.8621332708254,6.00863972531387,23.4179801365063,2003,"diabetes","Overall",0
"3",3.42672803799536,2.5312633818796,4.63897401212516,2006,"diabetes","Overall",0
"4",2.66820336111552,2.05823946054587,3.45893143763748,2009,"diabetes","Overall",0
"5",1.59252963933416,1.37703109299142,1.84175264092864,2011,"diabetes","Overall",0
"6",2.23073210802557,1.80010016639859,2.76438268862109,2014,"diabetes","Overall",0
"7",2.01320333204974,1.69037539512536,2.39768495676405,2017,"diabetes","Overall",0
"8",1.8334441740036,1.54545807477998,2.1750946169577,2020,"diabetes","Overall",0
"9",2.15848862404249,1.34355970550613,3.46770829835635,2001,"diabetes","Hombres",0
"10",4.79373376042705,1.84084172654142,12.4833564094794,2003,"diabetes","Hombres",0
"11",2.07096517310947,1.38425228868135,3.09834903890097,2006,"diabetes","Hombres",0
"12",1.87688497888913,1.33689163237875,2.63499085390463,2009,"diabetes","Hombres",0
"13",1.14673947932098,0.934611208145362,1.40701440553323,2011,"diabetes","Hombres",0
"14",1.48423465029722,1.12916300022859,1.95096057583975,2014,"diabetes","Hombres",0
"15",1.36180365663303,1.08848828906924,1.70374749810572,2017,"diabetes","Hombres",0
"16",1.5426991630996,1.23079684221293,1.93364219520516,2020,"diabetes","Hombres",0
"17",5.64580454409048,3.06911905247639,10.3857518737677,2001,"diabetes","Mujeres",0
"18",26.2913556675476,9.92145889084512,69.6707400032986,2003,"diabetes","Mujeres",0
"19",6.26725398668785,3.95656275056384,9.92742312201601,2006,"diabetes","Mujeres",0
"20",4.31178167798128,2.86993971901267,6.47799712147647,2009,"diabetes","Mujeres",0
"21",2.24476450055258,1.82120392976646,2.76683329119943,2011,"diabetes","Mujeres",0
"22",4.13181449577113,2.90897434640808,5.86869769014783,2014,"diabetes","Mujeres",0
"23",3.65569975120959,2.75040219101324,4.85897688514804,2017,"diabetes","Mujeres",0
"24",2.31353740970397,1.7775661499609,3.01111457720857,2020,"diabetes","Mujeres",0
"25",2.02840008224091,1.63187320695376,2.52127853812574,2001,"hta","Overall",0
"26",2.74585303049843,1.92718344068929,3.91229433893471,2003,"hta","Overall",0
"27",1.8627697005862,1.60297140104893,2.16467427625434,2006,"hta","Overall",0
"28",1.75810319747377,1.52990001909222,2.02034565291497,2009,"hta","Overall",0
"29",1.0836091395182,0.995541550837326,1.17946736252221,2011,"hta","Overall",0
"30",1.63396218241616,1.45283927583266,1.83766536187291,2014,"hta","Overall",0
"31",1.33402959065855,1.20458567859077,1.47738345256985,2017,"hta","Overall",0
"32",1.30953387028469,1.18467696521138,1.44754984504726,2020,"hta","Overall",0
"33",1.2025886237095,0.89588251567115,1.61429581733949,2001,"hta","Hombres",0
"34",1.13519243514493,0.667513577916193,1.93054030276532,2003,"hta","Hombres",0
"35",1.19337014185962,0.958923488707075,1.48513652262519,2006,"hta","Hombres",0
"36",1.30863458352949,1.07811392422249,1.58844481527724,2009,"hta","Hombres",0
"37",0.890644661708382,0.786536047058404,1.00853345043286,2011,"hta","Hombres",0
"38",1.10532162978747,0.942825622747667,1.29582382552942,2014,"hta","Hombres",0
"39",0.962811198018055,0.836836587045988,1.10774961011357,2017,"hta","Hombres",0
"40",1.11858349421651,0.973481252065937,1.28531395019498,2020,"hta","Hombres",0
"41",3.61711249565571,2.61456352229995,5.00408679867129,2001,"hta","Mujeres",0
"42",5.14669876219565,3.18757261385906,8.30993089651304,2003,"hta","Mujeres",0
"43",2.68234747111549,2.1780852967948,3.30335454097577,2006,"hta","Mujeres",0
"44",2.34297302120682,1.91409725787167,2.86794338977683,2009,"hta","Mujeres",0
"45",1.29481288762666,1.15228399566785,1.45497153502717,2011,"hta","Mujeres",0
"46",2.55049638746224,2.13543141095918,3.04623777147496,2014,"hta","Mujeres",0
"47",1.9078354693999,1.63874089984605,2.22111755350847,2017,"hta","Mujeres",0
"48",1.53727581553688,1.32824629244047,1.77920085038783,2020,"hta","Mujeres",0
"49",1.8748914541545,1.47805171261281,2.37827806352431,2001,"col","Overall",0
"50",1.94098171499676,1.29990048326754,2.89822956945266,2003,"col","Overall",0
"51",1.43682751835797,1.2206701162967,1.69126227467088,2006,"col","Overall",0
"52",1.03964619970469,0.948973979728143,1.13898193591149,2011,"col","Overall",0
"53",1.13925008944298,1.00754604554931,1.28817017547643,2014,"col","Overall",0
"54",1.09081643205324,0.978578713980838,1.21592721304652,2017,"col","Overall",0
"55",1.1742227541571,1.04938870501962,1.31390691531648,2020,"col","Overall",0
"56",1.52960999904571,1.11345027289459,2.10131229578684,2001,"col","Hombres",0
"57",1.40358761930276,0.770904153128677,2.55551639858808,2003,"col","Hombres",0
"58",1.02460230598084,0.808354304980795,1.29870018499648,2006,"col","Hombres",0
"59",0.87933769250968,0.768968906965069,1.00554752014619,2011,"col","Hombres",0
"60",0.980353563522446,0.82589228322532,1.16370273585539,2014,"col","Hombres",0
"61",0.967782054954529,0.831415773788111,1.12651471793066,2017,"col","Hombres",0
"62",1.1248601732585,0.960924695309365,1.31676333802181,2020,"col","Hombres",0
"63",2.3999583272266,1.6678591427403,3.45340911880659,2001,"col","Mujeres",0
"64",2.45946220760174,1.43143646382384,4.22579311306802,2003,"col","Mujeres",0
"65",1.83530816489585,1.46141083018673,2.30486594909317,2006,"col","Mujeres",0
"66",1.20570890275557,1.06390098837413,1.36641846757344,2011,"col","Mujeres",0
